"제어번호","제목","저자","발행처","발행년도","ISBN번호","분류기호","대출횟수"
"000001542619","탤런트 코드 :재능을 지배하는 세 가지 법칙","대니얼 코일 지음","웅진지식하우스 : 웅진씽크빅","2021","9788901248974","1","3"
"000001570015","테마파크에서 살아남기","포도알친구 글","Mirae N 아이세움 : 미래엔","2022","9791168410992","4","3"
"000001348509","토익 900점에 꼭 필요한 필수 영단어 표현 9000","장지현","마더텅","2019","9791162723630","7","3"
"000001542870","통계학개론 .[1] =Introduction to statistics","박서영","KNOU Press(한국방송통신대학교출판문화원)","2022","9788920041235","4","3"
"000001559193","퇴직과 은퇴 사이 :퇴직 후 30년을 준비하라","이기훈 지음","한국경제신문i","2022","9788947548021","5","3"
"000001460567","트랜서핑 다시읽기 :78일간의 여정","이음 지음","부크크(bookk)","2020","9791137223783","1","3"
"000001718203","트럼프의 귀환 :위기인가 기회인가","조병제 지음","월요일의꿈","2024","9791192044453","3","3"
"000001398209","특수교육학개론 =Introduction to special education","유은영","한국방송통신대학교출판문화원(KNOU Press)","2020","9788920029899","3","3"
"000000107994","특이점이 온다 :기술이 인간을 초월하는 순간: 인간은 기계가 되고 기계는 인간이 된다","레이 커즈와일 [지음]","김영사","2007","9788934924067","0","3"
"000000086276","파라오와 이집트","김태훈 글","주니어김영사","2011","9788934947318","9","3"
"000001733874","파란색 미술관 :감정에 푸른 물결을 일으킨 15인의 화가들","강민지 지음","아트북스","2024","9788961964500","6","3"
"000000003057","파리대왕","윌리엄 골딩 지음","민음사","2010","9788937460197","8","3"
"000001736151","파리의 수집가들","피에르 르탕 지음","OFF THE RECORD 오프더레코드 : 디 이니셔티브","2024","9791191754551","6","3"
"000001644486","파뿌리 뽑기 투어 .1 ,베트남","파뿌리 원작","예림당","2023","9788930282017","9","3"
"000001523965","파이썬 머신러닝 실무 테크닉 100","시모야마 데루마사","제이펍","2021","9791191600438","0","3"
"000001590096","파인먼 평전 :괴짜 물리학자가 남긴 현대 물리학의 위대한 이정표","제임스 글릭 지음","동아시아","2023","9788962624809","4","3"
"000001516562","파킨슨 증후군 알아야 이긴다 :파킨슨 증후군 전문가 35인이 쓴 진료실에서 못다한 이야기","이명식 대표저","메디안북","2021","9791190450522","5","3"
"000001517570","판다의 발톱, 캐나다에 침투한 중국 공산당","조너선 맨소프 지음","미디어워치 : 미디어실크","2021","9791192014005","3","3"
